Location,Max Traffic (mbps) (99%),Choke Point,Choke Point Limit (mbps),Circuit Max Limit (mbps),Choke Point Utilization,Circuit Utilization,Action
1221 Ocean ,19,CMTS,608,1000,0.03125,0.019
1900 Ocean,120,CMTS,1216,5000,0.09868421052631579,0.024
210 Third Lofts POP,400,Circuit,5000,5000,0.08,0.08
210 Third Lofts Site,43,Circuit,5000,5000,0.0086,0.0086
The Lakes POP,374,Circuit,10000,10000,0.0374,0.0374
The Lakes Site,49,CMTS,2432,10000,0.020148026315789474,0.0049
94th Aero,NA,Circuit,1000,1000,0.0,0.0
AAA Security,58,Circuit,100,100,0.58,0.58
Arbor Crossing Apartments,691,Circuit,1000,1000,0.691,0.691
Alessio Apts,210,CMTS,608,1000,0.34539473684210525,0.21
Alight Norman,1305,Circuit,10000,10000,0.1305,0.1305
Alta at Hope,41,Radio,700,700,0.05857142857142857,0.05857142857142857
Anavia POP,463,Circuit,10000,10000,0.0463,0.0463
Anavia Site,22,Switch,1000,10000,0.022,0.0022
The George,11,CMTS,608,700,0.018092105263157895,0.015714285714285715
Angelus,1,Radio,700,700,0.0014285714285714286,0.0014285714285714286
AO Apartments POP,288,Circuit,10000,10000,0.0288,0.0288
AO Apartments Site,31,Switch,1000,10000,0.031,0.0031
Aqua Marina POP,397,Switch,1000,10000,0.397,0.0397
Aqua Marina Site,20,CMTS,1216,10000,0.01644736842105263,0.002
Avalon Thousand Oaks,448,Circuit,1000,1000,0.448,0.448
Axis 2300,188,Radio,2000,2000,0.094,0.094
Arizona Core Zayo 10Gb CIR,2111,Circuit,10000,10000,0.2111,0.2111
Seven West,158,CMTS,608,700,0.2598684210526316,0.2257142857142857
Blair House POP,546,Switch,10000,10000,0.0546,0.0546
Blair House Site,18,CMTS,608,10000,0.029605263157894735,0.0018
Bear Lake KOA,54,Circuit,200,200,0.27,0.27
Boathouse,5,Circuit,1000,1000,0.005,0.005
Bridge Pointe Apartments,390,Switch,1000,2000,0.39,0.195
Brentwood Kiowa,102,CMTS,1216,2000,0.08388157894736842,0.051
Burbank Village POP,128,Circuit,1000,1000,0.128,0.128
Burbank Village Walk Site,11,CMTS,608,1000,0.018092105263157895,0.011
Castaway Burbank,37,Radio,700,700,0.05285714285714286,0.05285714285714286
Bryce Valley KOA,25,Circuit,50,50,0.5,0.5
Bella Vita Senior Living ,76,Circuit,500,500,0.152,0.152
C7 Edge,1049,Circuit,10000,10000,0.1049,0.1049
CBS Apartments,80,Circuit,2000,2000,0.04,0.04
CBS Apartments POP,67,Circuit,2000,2000,0.0335,0.0335
Cason Estates Apartments,821,Circuit,1000,1000,0.821,0.821
Coconut Cove,20,Circuit,150,150,0.13333333333333333,0.13333333333333333
Cogent 10Gig Internet,3435,Circuit,10000,10000,0.3435,0.3435
Nitel 10Gig Cir,63,Circuit,10000,10000,0.0063,0.0063
Spectrum 10Gig CIR,151,Circuit,10000,10000,0.0151,0.0151
CA Zayo Internet NNI,7416,Circuit,10000,10000,0.7416,0.7416
Crown Castle 10Gig CIR,140,Circuit,10000,10000,0.014,0.014
ATT Metro 10Gig CIR,180,Circuit,10000,10000,0.018,0.018
CoreSite Peering Virtual IXP Port Circuit,11287,Circuit,20000,20000,0.56435,0.56435
Zayo 10G South Ring B,422,Circuit,10000,10000,0.0422,0.0422
Zayo 10G South Ring A,487,Circuit,10000,10000,0.0487,0.0487
Cortesia at Rancho,87,Circuit,5000,5000,0.0174,0.0174
Country Creek,19,CMTS,1216,2000,0.015625,0.0095
Carolina Townhomes,51,Radio,300,2000,0.17,0.0255
The Chateaux,134,Circuit,1500,1500,0.08933333333333333,0.08933333333333333
Deer Creek Apartments,355,Circuit,2000,2000,0.1775,0.1775
Del Rey Club,650,Circuit,10000,10000,0.065,0.065
District Lofts,617,Circuit,10000,10000,0.0617,0.0617
Eastown,365,Radio,2000,2000,0.1825,0.1825
Edinburg Apartments,76,Circuit,2000,2000,0.038,0.038
El Centro POP,966,Circuit,5000,5000,0.1932,0.1932
El Centro Site,135,Circuit,5000,5000,0.027,0.027
Foothill Terrace CMTS B,13,Circuit,1000,1000,0.013,0.013
Foothill Terrace CMTS A,13,UBR,608,1000,0.02138157894736842,0.013
Form 15,40,Circuit,5000,5000,0.008,0.008
Fourth and U,65,Circuit,1000,1000,0.065,0.065
Gallery 421,772,CMTS,1216,2000,0.6348684210526315,0.386
Granada Villas ,66,Circuit,300,300,0.22,0.22
Granit Bay,260,Radio,2000,2000,0.13,0.13
Huntington Cont,49,Circuit,300,300,0.16333333333333333,0.16333333333333333
Kampus Korner Apartments,144,Circuit,2000,2000,0.072,0.072
